1;0,5089;0,5917;0,5248;0,6877;0,6341;0,4579;0,618;0,6305;0,6669;0,4641;0,606;0,5161;0,6007;0,578;0,5221;0,6151;0,6287;0,6202;0,5618;0,4044;0,5162;0,5093;0,6002;0,4058;0,6336;0,5063;0,7254;0,4217;0,6323;0,6734;0,597;0,6229;0,4257;0,5705;0,6616;0,5838;0,4504;0,5861;0,5457
0,5089;1;0,6059;0,5092;0,6706;0,6366;0,5709;0,5556;0,6924;0,5956;0,5509;0,6147;0,5946;0,6782;0,5119;0,6085;0,7135;0,6844;0,5642;0,5794;0,4871;0,5964;0,618;0,6077;0,5525;0,6558;0,5641;0,6809;0,5776;0,6532;0,6327;0,5726;0,6854;0,4992;0,6564;0,6211;0,592;0,5002;0,5764;0,6788
0,5917;0,6059;1;0,3822;0,6792;0,6408;0,5206;0,6344;0,6231;0,6166;0,5542;0,5954;0,6215;0,5977;0,54;0,5664;0,6641;0,6075;0,6034;0,6997;0,4697;0,5254;0,5206;0,6516;0,5665;0,6803;0,6911;0,7286;0,5226;0,6572;0,6415;0,6557;0,5914;0,4955;0,6181;0,583;0,6457;0,4898;0,6218;0,6459
0,5248;0,5092;0,3822;1;0,5852;0,5974;0,3664;0,4404;0,5903;0,6699;0,3318;0,5505;0,2916;0,5478;0,4774;0,3447;0,5445;0,6781;0,4871;0,5063;0,3515;0,4124;0,3763;0,594;0,4047;0,6046;0,382;0,5993;0,3048;0,5931;0,6001;0,4168;0,6101;0,5464;0,6382;0,5453;0,5629;0,4118;0,4456;0,4091
0,6877;0,6706;0,6792;0,5852;1;0,8854;0,5484;0,7097;0,664;0,8339;0,5004;0,6834;0,5702;0,6698;0,6464;0,5415;0,7;0,7437;0,7234;0,7111;0,5619;0,6773;0,4851;0,7799;0,5765;0,809;0,6146;0,864;0,5;0,7612;0,88;0,6169;0,7416;0,4738;0,6516;0,7171;0,7351;0,5634;0,7086;0,6546
0,6341;0,6366;0,6408;0,5974;0,8854;1;0,5167;0,6777;0,6214;0,87;0,5319;0,7279;0,5138;0,6675;0,6008;0,5244;0,6842;0,7399;0,7011;0,6161;0,5465;0,6444;0,4359;0,7326;0,5083;0,7494;0,5653;0,8472;0,5268;0,7452;0,9326;0,5838;0,7451;0,5427;0,7168;0,6892;0,6547;0,543;0,6814;0,6461
0,4579;0,5709;0,5206;0,3664;0,5484;0,5167;1;0,5084;0,4958;0,5182;0,4293;0,4391;0,4421;0,505;0,4399;0,4233;0,5362;0,4331;0,4505;0,5213;0,3909;0,6992;0,3964;0,5264;0,3348;0,541;0,4056;0,5695;0,2581;0,5139;0,5187;0,4975;0,5696;0,4254;0,456;0,5107;0,5448;0,4429;0,5629;0,5092
0,618;0,5556;0,6344;0,4404;0,7097;0,6777;0,5084;1;0,5411;0,6178;0,5894;0,6617;0,569;0,6643;0,606;0,566;0,639;0,6309;0,7247;0,6192;0,5378;0,5775;0,5366;0,6339;0,57;0,6571;0,5601;0,78;0,4794;0,699;0,6894;0,6227;0,6341;0,3578;0,5556;0,6701;0,676;0,6346;0,6971;0,5536
0,6305;0,6924;0,6231;0,5903;0,664;0,6214;0,4958;0,5411;1;0,6314;0,4943;0,6627;0,5647;0,6262;0,4889;0,6086;0,6855;0,7057;0,6441;0,685;0,4953;0,5522;0,5521;0,6049;0,4652;0,7064;0,5107;0,6895;0,5806;0,6836;0,6534;0,5952;0,6525;0,5413;0,6793;0,6036;0,5971;0,4693;0,5622;0,6152
0,6669;0,5956;0,6166;0,6699;0,8339;0,87;0,5182;0,6178;0,6314;1;0,4864;0,6743;0,5132;0,6398;0,5649;0,4625;0,6741;0,7517;0,6667;0,6381;0,5184;0,5961;0,475;0,7431;0,4634;0,8003;0,5666;0,8027;0,49;0,8077;0,881;0,6221;0,735;0,5677;0,6829;0,6765;0,6882;0,4837;0,6369;0,5858
0,4641;0,5509;0,5542;0,3318;0,5004;0,5319;0,4293;0,5894;0,4943;0,4864;1;0,5374;0,5213;0,63;0,4821;0,6913;0,569;0,4878;0,5763;0,5447;0,495;0,5124;0,695;0,4961;0,5397;0,5395;0,532;0,5671;0,5351;0,586;0,497;0,6125;0,5767;0,3684;0,5267;0,5564;0,5436;0,5503;0,6139;0,5574
0,606;0,6147;0,5954;0,5505;0,6834;0,7279;0,4391;0,6617;0,6627;0,6743;0,5374;1;0,5601;0,6682;0,616;0,6032;0,6249;0,7035;0,6657;0,5534;0,5968;0,5988;0,5554;0,5602;0,5028;0,6343;0,5192;0,7209;0,5411;0,7107;0,7414;0,614;0,6812;0,5917;0,7356;0,6829;0,5708;0,6656;0,6621;0,5997
0,5161;0,5946;0,6215;0,2916;0,5702;0,5138;0,4421;0,569;0,5647;0,5132;0,5213;0,5601;1;0,5185;0,4556;0,6991;0,6138;0,5263;0,5832;0,5606;0,5243;0,5053;0,5558;0,438;0,5151;0,512;0,5953;0,5725;0,659;0,6103;0,5221;0,5525;0,4629;0,3449;0,5307;0,5347;0,4908;0,5091;0,5494;0,5722
0,6007;0,6782;0,5977;0,5478;0,6698;0,6675;0,505;0,6643;0,6262;0,6398;0,63;0,6682;0,5185;1;0,634;0,5852;0,8006;0,6989;0,6444;0,6192;0,5106;0,5634;0,5944;0,6745;0,5691;0,7037;0,5007;0,7127;0,5619;0,6642;0,6606;0,6689;0,723;0,492;0,6389;0,6742;0,6482;0,5446;0,6202;0,5863
0,578;0,5119;0,54;0,4774;0,6464;0,6008;0,4399;0,606;0,4889;0,5649;0,4821;0,616;0,4556;0,634;1;0,498;0,5858;0,5859;0,5793;0,497;0,4587;0,5487;0,5859;0,5887;0,4844;0,6071;0,4653;0,6529;0,4418;0,5334;0,5962;0,5037;0,6231;0,3476;0,5086;0,8224;0,5547;0,6479;0,6424;0,5206
0,5221;0,6085;0,5664;0,3447;0,5415;0,5244;0,4233;0,566;0,6086;0,4625;0,6913;0,6032;0,6991;0,5852;0,498;1;0,6278;0,5266;0,5274;0,5462;0,5155;0,5374;0,7017;0,4588;0,5997;0,4921;0,5572;0,5607;0,6161;0,4923;0,5207;0,581;0,5011;0,3445;0,5842;0,5455;0,4952;0,5188;0,586;0,6179
0,6151;0,7135;0,6641;0,5445;0,7;0,6842;0,5362;0,639;0,6855;0,6741;0,569;0,6249;0,6138;0,8006;0,5858;0,6278;1;0,703;0,6749;0,6586;0,479;0,6047;0,5626;0,7226;0,5359;0,7087;0,5426;0,7206;0,5889;0,6963;0,681;0,6795;0,6641;0,4485;0,6464;0,6747;0,6854;0,5447;0,5911;0,6559
0,6287;0,6844;0,6075;0,6781;0,7437;0,7399;0,4331;0,6309;0,7057;0,7517;0,4878;0,7035;0,5263;0,6989;0,5859;0,5266;0,703;1;0,6666;0,5928;0,4364;0,4893;0,573;0,643;0,5745;0,7177;0,516;0,775;0,4656;0,7091;0,7634;0,6143;0,6957;0,616;0,6776;0,5963;0,65;0,4975;0,5935;0,6431
0,6202;0,5642;0,6034;0,4871;0,7234;0,7011;0,4505;0,7247;0,6441;0,6667;0,5763;0,6657;0,5832;0,6444;0,5793;0,5274;0,6749;0,6666;1;0,659;0,4678;0,5373;0,5693;0,6469;0,5102;0,6841;0,5947;0,7665;0,4348;0,7685;0,7295;0,6421;0,5862;0,4347;0,576;0,6719;0,6605;0,5578;0,6489;0,6105
0,5618;0,5794;0,6997;0,5063;0,7111;0,6161;0,5213;0,6192;0,685;0,6381;0,5447;0,5534;0,5606;0,6192;0,497;0,5462;0,6586;0,5928;0,659;1;0,4762;0,5774;0,4786;0,7532;0,5655;0,7983;0,6343;0,7331;0,4492;0,6894;0,629;0,6232;0,6042;0,4593;0,6626;0,6003;0,8254;0,4798;0,593;0,5789
0,4044;0,4871;0,4697;0,3515;0,5619;0,5465;0,3909;0,5378;0,4953;0,5184;0,495;0,5968;0,5243;0,5106;0,4587;0,5155;0,479;0,4364;0,4678;0,4762;1;0,5654;0,4421;0,4761;0,4709;0,5609;0,4316;0,593;0,6199;0,5615;0,5281;0,4462;0,5112;0,3178;0,53;0,5727;0,4231;0,5071;0,5791;0,6031
